fuzzy_risk,classes,functions,comment_lines,ncloc,lines,complexity,class_complexity,function_complexity,blocker_violations,critical_violations,major_violations,minor_violations,Label
51.11,57,306,532,3782,6063,822,14.4,2.7,0,0,237,123,1
51.11,14,121,480,1480,2735,334,23.9,2.7,0,3,78,54,1
0,15,127,765,964,2323,214,14.3,1.7,0,0,51,52,0
0,6,75,288,1480,2107,352,58.7,4.7,0,1,86,70,0
0,24,149,494,2264,3680,527,22,3.5,0,0,222,99,0
51.11,63,456,2823,4680,10839,989,15.7,2.1,0,2,553,229,1
51.11,63,396,180,6106,7526,1274,20.2,3.2,0,1,201,287,1
0,7,53,22,990,1114,222,31.7,4.2,0,0,194,49,0
0,60,297,1103,4163,6845,741,12.4,2.5,0,8,438,799,0
0,5,82,70,1035,1540,228,45.6,2.8,0,0,84,189,0
50,65,420,802,8500,10798,1588,24.4,3.7,3,12,553,491,1
51.11,24,159,227,2375,3279,348,14.5,2.1,0,1,462,106,1
0,4,20,34,419,499,70,17.5,3.5,0,2,36,12,0
51.11,27,191,287,3065,4068,760,28.1,3.9,0,3,432,453,1
51.11,57,405,649,4905,7015,1133,19.9,2.7,0,6,285,213,1
53.33,19,110,47,1170,1488,212,11.2,1.7,1,4,43,63,1
51.11,106,491,277,7385,11374,1427,13.5,2.9,0,8,536,197,1
51.11,46,200,1086,2891,5945,587,12.8,2.9,0,1,204,127,1
51.11,62,291,788,3317,6014,719,11.6,2.5,1,0,116,72,1
0,11,44,38,552,817,105,9.5,2.4,0,0,30,27,0
0,146,749,2597,9575,22589,2464,16.9,3.2,3,4,665,1305,0
0,3,20,72,248,422,49,16.3,2.5,0,0,29,7,0
51.11,7,23,18,460,548,83,11.9,3.5,3,0,60,21,1
51.11,7,22,2,288,339,40,5.7,1.8,0,0,17,18,1
0,32,151,107,1850,2429,392,12.3,2.6,0,0,39,75,0
0,19,95,60,1470,1943,227,11.9,2.4,0,0,279,8,0
51.11,5,20,21,434,502,76,15.2,3.8,0,6,119,28,1
0,8,32,1,451,548,81,10.1,2.5,0,0,43,20,0
51.11,192,522,3408,12918,22985,1850,9.6,3.5,7,8,523,333,1
51.11,1,9,20,225,303,31,31,3.4,0,0,12,13,1
0,2,10,12,148,195,18,9,1.7,0,0,13,17,0
51.11,5,43,90,704,934,126,25.2,2.7,0,1,26,10,1
50,91,504,1577,8892,13237,1819,20,3.6,2,44,683,368,1
