appId,categories,team_size,total_changes,over_permissions,overages
1,Office,1,40,,0
2,Internet,9,245,,0
4,Wallpaper,2,68,,0
5,Navigation,1,156,,0
8,Office,4,28,"android.permission.READ_EXTERNAL_STORAGE
",1
9,System,2,105,"android.permission.ACCESS_SUPERUSER
",1
10,Navigation,4,102,,0
11,Multimedia,1,3,,0
13,Multimedia,2,77,,0
14,Multimedia,2,33,,0
15,Internet,17,700,"android.permission.ACCESS_MOCK_LOCATION
;android.permission.WRITE_SETTINGS
",2
16,Office,6,96,"android.permission.ACCESS_NETWORK_STATE
",1
17,Office,7,149,"android.permission.WRITE_EXTERNAL_STORAGE
",1
18,Games,2,51,"android.permission.RECORD_AUDIO
",1
19,Multimedia,2,308,,0
21,System,2,16,"android.permission.INTERNET
",1
22,Games,5,2753,"android.permission.GET_ACCOUNTS
",1
23,Internet,5,777,"android.permission.WRITE_SETTINGS
;android.permission.READ_SYNC_STATS
;android.permission.READ_SYNC_SETTINGS
",3
24,Development,1,98,"android.permission.ACCESS_SUPERUSER
",1
25,System,5,12,,0
27,System,1,11,,0
29,Games,3,120,,0
30,System,1,14,,0
31,Internet,1,10,,0
32,Reading,2,44,,0
33,System,1,113,"android.permission.ACCESS_SUPERUSER
",1
35,Phone & SMS,1,4,,0
38,System,2,32,,0
39,Navigation,7,845,"android.permission.ACCESS_WIFI_STATE
",1
40,System,1,40,,0
41,Reading,7,428,"android.permission.ACCESS_WIFI_STATE
",1
42,Internet,1,12,,0
43,System,2,3,,0
44,Office,3,46,"android.permission.WAKE_LOCK
",1
45,Development,18,812,"android.permission.ACCESS_COARSE_UPDATES
;android.permission.BATTERY_STATS
",2
46,Internet,1,8,,0
48,Internet,7,498,,0
51,Science & Education,7,129,"android.permission.CAMERA
;android.permission.DISABLE_KEYGUARD
",2
52,Multimedia,2,4,,0
53,Multimedia,1,53,"android.permission.READ_EXTERNAL_STORAGE
",1
54,Games,3,97,,0
56,System,2,85,"android.permission.ACCESS_SUPERUSER
",1
57,Office,1,2,,0
58,Multimedia,2,133,"android.permission.INTERNET
",1
61,Multimedia,2,314,,0
65,System,2,281,"android.permission.CHANGE_NETWORK_STATE
;android.permission.READ_PHONE_STATE
",2
66,Office,1,6,,0
68,Internet,29,1091,,0
69,System,5,30,"android.permission.WAKE_LOCK
",1
71,Navigation,1,56,,0
73,Games,1,67,,0
74,Games,1,46,,0
75,Phone & SMS,3,69,,0
76,Navigation,3,977,"android.permission.ACCESS_WIFI_STATE
;android.permission.BATTERY_STATS
",2
78,System,1,67,"android.permission.ACCESS_NETWORK_STATE
;android.permission.ACCESS_WIFI_STATE
",2
81,Multimedia,2,23,,0
82,Navigation,2,70,,0
83,System,1,14,,0
85,System,1,4,"android.permission.NFC
;android.permission.INTERNET
;android.permission.READ_EXTERNAL_STORAGE
",3
86,"Science & Education,Children",1,45,,0
87,Internet,1,113,,0
88,System,4,391,"android.permission.ACCESS_SUPERUSER
",1
89,System,1,11,,0
